"id","Ad_Gaze","Brand_Gaze","Experimental","Context"
1,1.48,0.93,"0","1"
2,2.09,0.7,"0","1"
3,2.23,0.4,"0","1"
4,1.9,0.37,"0","1"
5,1.95,0.96,"0","1"
6,1.84,0.87,"0","1"
7,2,0.91,"0","1"
8,2.36,0.27,"0","1"
9,1.98,0.59,"0","1"
10,2.68,1.34,"0","1"
11,1.15,0.25,"0","1"
12,2.19,1.13,"0","1"
13,2.66,0.36,"0","1"
14,2.48,0.53,"0","1"
15,1.7,0.34,"0","1"
16,2.24,0.32,"0","1"
17,1.41,0.01,"0","1"
18,1.55,0.22,"0","1"
19,3.18,0.41,"0","1"
20,2.54,0.41,"0","1"
21,2.21,0.39,"0","1"
22,2.25,0.38,"0","1"
23,1.63,0.28,"0","1"
24,2.47,0.1,"0","1"
25,1.26,0.47,"0","1"
26,1.45,0.3,"0","1"
27,1.48,0.93,"0","1"
28,2.09,0.7,"0","1"
29,1.36,0.33,"0","1"
30,2.1,0.43,"0","1"
31,2.22,0.56,"0","1"
32,2.09,0.57,"0","1"
33,2.18,0.33,"0","1"
34,2.1,0.17,"0","1"
35,2.41,0.33,"0","1"
36,1.78,0.59,"0","1"
37,1.93,0.17,"0","1"
38,1.14,0.16,"0","1"
39,1.96,0.83,"0","1"
40,0.71,0.34,"0","1"
41,1.06,0.16,"0","1"
42,1.73,0.59,"0","1"
43,2.68,0.83,"0","1"
44,2.55,0.44,"0","1"
45,2.06,0.4,"0","1"
46,1.31,0.31,"0","1"
47,2.25,0.53,"0","1"
48,2.34,0.74,"0","1"
49,1.57128205128205,0.742222222222222,"1","1"
50,1.49451327433628,0.605663716814159,"1","1"
51,1.47126050420168,0.353781512605042,"1","1"
52,2.31081081081081,0.203963963963964,"1","1"
53,2.46672566371681,0.843008849557522,"1","1"
54,2.66172413793103,0.968793103448276,"1","1"
55,1.73433628318584,0.34353982300885,"1","1"
56,1.71582417582418,0.345934065934066,"1","1"
57,1.7215652173913,0.165217391304348,"1","1"
58,1.40924731182796,0.206021505376344,"1","1"
59,1.64086206896552,0.33448275862069,"1","1"
60,1.95025641025641,0.337948717948718,"1","1"
61,2.14615384615385,0.393333333333333,"1","1"
62,1.9354954954955,0.33009009009009,"1","1"
63,1.59913043478261,0.253565217391304,"1","1"
64,1.88779661016949,0.208474576271186,"1","1"
65,2.33781512605042,0.420168067226891,"1","1"
66,1.91890909090909,0.350363636363636,"1","1"
67,2.66140350877193,0.263859649122807,"1","1"
68,3.29779661016949,0.380338983050847,"1","1"
69,2.35055555555556,0.225185185185185,"1","1"
70,2.94871794871795,0.259316239316239,"1","1"
71,2.79808695652174,0.126608695652174,"1","1"
72,3.94728813559322,0.233389830508475,"1","1"
73,2.53791304347826,0.274434782608696,"1","1"
74,2.27794871794872,0.301709401709402,"1","1"
75,2.07076923076923,0.618290598290598,"1","1"
76,2.62208695652174,0.56,"1","1"
77,2.11476635514019,0.961869158878505,"1","1"
78,2.62220338983051,1.04440677966102,"1","1"
79,2.36222222222222,0.411452991452991,"1","1"
80,2.03418803418803,0.302051282051282,"1","1"
81,1.97286956521739,0.532,"1","1"
82,1.4287037037037,0.348703703703704,"1","1"
83,2.36957983193277,0.243697478991597,"1","1"
84,2.72974358974359,0.199316239316239,"1","1"
85,2.16051724137931,0.267068965517241,"1","1"
86,2.185,0.276034482758621,"1","1"
87,2.54649572649573,0.612649572649573,"1","1"
88,1.81445378151261,0.237983193277311,"1","1"
89,3.45310344827586,0.571206896551724,"1","1"
90,2.86827586206897,0.524137931034483,"1","1"
91,2.78913793103448,0.741379310344828,"1","1"
92,3.03641025641026,0.573504273504274,"1","1"
93,2.62465517241379,0.572586206896552,"1","1"
94,2.39593220338983,0.438474576271186,"1","1"
95,2.29945945945946,0.744144144144144,"1","1"
96,1.80817391304348,0.282782608695652,"1","1"
97,2.28,1.04,"0","0"
98,2.88,0.59,"0","0"
99,3.38,0.82,"0","0"
100,2.25,1.15,"0","0"
101,2.62,0.75,"0","0"
102,2.9,0.91,"0","0"
103,2.56,0.59,"0","0"
104,2.94,0.6,"0","0"
105,2.73,0.7,"0","0"
106,2.91,1.01,"0","0"
107,2.86,0.43,"0","0"
108,2.32,0.4,"0","0"
109,3.56,0.28,"0","0"
110,2.8,0.41,"0","0"
111,3.66,1.72,"0","0"
112,3.17,0.96,"0","0"
113,3.28,0.54,"0","0"
114,2.75,0.19,"0","0"
115,2.25,1.15,"0","0"
116,6.67,0.71,"0","0"
117,3.8,0.75,"0","0"
118,5.02,0.54,"0","0"
119,2.48,0.56,"0","0"
120,3.23,0.3,"0","0"
121,2.63,1.27,"0","0"
122,2.46,0.37,"0","0"
123,2.88,0.59,"0","0"
124,3.48,1.04,"0","0"
125,3.02,0.19,"0","0"
126,2.88,0.59,"0","0"
127,2.94,0.65,"0","0"
128,2.75,0.4,"0","0"
129,3.53,1.77,"0","0"
130,2.28,1.04,"0","0"
131,3,0.86,"0","0"
132,2.87,0.93,"0","0"
133,3.25,0.66,"0","0"
134,2.87,0.6,"0","0"
135,4.22,0.39,"0","0"
136,2.16,0.72,"0","0"
137,4.22,0.39,"0","0"
138,2.16,0.72,"0","0"
139,3.16,0.62,"0","0"
140,4.94,0.83,"0","0"
141,4.94,0.83,"0","0"
142,3.03,0.36,"0","0"
143,3.72,0.56,"0","0"
144,3.72,1.1,"0","0"
145,2.56137931034483,1.17241379310345,"1","0"
146,3.18752136752137,0.546495726495727,"1","0"
147,4.04305084745763,1.26389830508475,"1","0"
148,3.82239316239316,0.762564102564103,"1","0"
149,2.77435897435897,0.369059829059829,"1","0"
150,3.18504347826087,0.695130434782609,"1","0"
151,3.14745762711864,0.540338983050847,"1","0"
152,3.28465517241379,0.706034482758621,"1","0"
153,3.21344827586207,0.612931034482759,"1","0"
154,4.12735042735043,0.536752136752137,"1","0"
155,3.91460869565217,0.463826086956522,"1","0"
156,4.8608547008547,0.34957264957265,"1","0"
157,2.74205128205128,0.364957264957265,"1","0"
158,3.4425641025641,0.955384615384615,"1","0"
159,3.92119658119658,1.57487179487179,"1","0"
160,3.47529411764706,0.550924369747899,"1","0"
161,2.88050847457627,0.738135593220339,"1","0"
162,3.76448275862069,0.446551724137931,"1","0"
163,2.94423728813559,0.430508474576271,"1","0"
